Unnamed__0,nuclear_consumption,country
5509,,denmark
13722,,niue
7688,,germany
12737,,mozambique
14405,,north macedonia
4164,,chile
19908,,turks and caicos islands
49,,afghanistan
3007,,british virgin islands
11453,,malaysia
2174,,barbados
4641,,congo
17357,0.0,saudi arabia
1753,0.0,austria
3466,403.081,cis (ei)
1427,,asia and oceania (shift)
16240,,philippines
17142,,saint pierre and miquelon
1486,,asia and oceania (shift)
21452,,western africa (ei)
6503,,eurasia (shift)
10492,,kuwait
11397,,malawi
4913,,croatia
19225,,tanzania
15729,1.467,pakistan
18228,,south sudan
9547,,iraq
8883,,hungary
923,,antigua and barbuda
13086,,nepal
5789,,eastern africa (ei)
10108,,japan
2098,0.0,bangladesh
4647,,congo
20586,115.263,united kingdom
10143,55.896,japan
5272,,democratic republic of congo
7197,55.099,finland
16762,,reunion
17734,,solomon islands
19310,,thailand
9280,90.17,india
15934,,persian gulf (eia)
13795,1241.65,non-oecd (ei)
10242,1.267,kazakhstan
11398,,malawi
264,33.521,africa
1810,0.0,azerbaijan
19782,,turkey
3918,,central african republic
5572,,dominica
15408,,oman
14193,,north america (shift)
21775,,zambia
21595,4525.086,world
6554,,eurasia (shift)
15416,,oman
15430,,oman
13215,,netherlands antilles
12736,,mozambique
5504,,denmark
16411,0.0,poland
20179,,ussr
15507,,oman
20267,,ukraine
10660,,lebanon
14366,,north korea
9368,0.0,indonesia
16006,,persian gulf (shift)
5660,,eu28 (shift)
5798,,eastern africa (ei)
6237,0.0,estonia
21852,,zambia
6,,asean (ember)
12002,,micronesia (country)
2193,,barbados
12237,,middle east (shift)
11857,,mexico
3021,,brunei
13224,,netherlands antilles
12213,,middle east (shift)
88,,afghanistan
829,,angola
16732,,qatar
14905,,oecd - europe (eia)
18142,47.515,south korea
5432,,denmark
20583,165.186,united kingdom
11489,,malaysia
547,,albania
19689,,tunisia
18170,362.962,south korea
1599,,australia
7206,59.287,finland
20560,252.437,united kingdom
13659,,nigeria
495,,albania
14550,0.0,norway
2571,,bhutan
5408,,denmark
17071,,saint kitts and nevis
12546,,morocco
10471,0.0,kuwait
4392,187.726,china
16513,,portugal
6125,,el salvador
7870,,ghana
12688,,mozambique
5950,,ecuador
9259,17.669,india
21864,,zambia
822,,angola
17741,,solomon islands
5933,0.0,ecuador
9413,,iran
9275,45.065,india
7031,,european union (eia)
4035,,central and south america (shift)
2046,,bangladesh
21761,,yugoslavia
19236,,tanzania
6689,116.63,europe (ei)
4443,,colombia
7595,,gabon
9807,,israel
4010,,central and south america (shift)
14280,,north korea
18081,,south korea
14440,,northern mariana islands
2839,,botswana
285,0.0,africa (ei)
734,,american samoa
2568,,bhutan
3534,,cameroon
511,,albania
150,,africa
10416,,kuwait
9889,,israel
17342,,saudi arabia
13107,,netherlands
5740,,eu28 (shift)
10304,,kenya
15722,0.0,pakistan
13794,1181.653,non-oecd (ei)
3094,,brunei
15589,,other non-oecd - asia (eia)
21308,0.0,vietnam
15293,,oceania
19798,,turkey
20075,,ussr
5771,,east timor
2316,,belgium
15161,,opec (shift)
1253,1472.236,asia
2128,,barbados
6951,21.628,european union (27)
6838,,europe (shift)
20373,,united arab emirates
7661,,georgia
17551,,sierra leone
9651,,iraq
7269,,france
2787,,botswana
17079,,saint lucia
17744,,solomon islands
12986,,nepal
13828,,non-oecd (eia)
19508,,trinidad and tobago
13472,,niger
2642,,bolivia
9674,,ireland
2088,0.0,bangladesh
11611,,mali
13090,,nepal
8464,,guinea
7941,,gibraltar
18874,72.161,switzerland
8324,,guam
14360,,north korea
16079,,persian gulf (shift)
21412,,western africa (ei)
18569,,suriname
14501,,norway
11661,,malta
2302,,belgium
13739,,niue
17779,,somalia
17270,,sao tome and principe
15057,,opec (shift)
11358,,madagascar
9025,,ieo - middle east (eia)
17249,,sao tome and principe
9930,,italy
1701,,austria
17017,,saint helena
11393,,malawi
2202,,barbados
5541,,djibouti
3314,,burundi
21758,,yugoslavia
1426,,asia and oceania (shift)
1327,,asia (ember)
11854,,mexico
13697,,nigeria
19984,,u.s. pacific islands (eia)
1849,,bahamas
7544,,gabon
8850,0.0,hong kong
1185,,asia
12435,,mongolia
3733,108.782,canada
2792,,botswana
8049,0.0,greece
20350,,united arab emirates
17284,,saudi arabia
16080,,persian gulf (shift)
15945,,persian gulf (eia)
6010,,egypt
4544,,comoros
4622,,congo
17241,,sao tome and principe
13817,,non-oecd (eia)
21593,3559.857,world
11234,,macao
1654,,australia and new zealand (eia)
1009,,argentina
13655,,nigeria
4739,,costa rica
14067,2448.531,north america
5907,0.0,ecuador
6562,,europe
19451,,tonga
8318,,guam
1223,62.505,asia
12716,,mozambique
20919,436.095,upper-middle-income countries
16186,,peru
16709,0.0,qatar
21805,,zambia
13045,,nepal
15771,23.48,pakistan
14951,,oecd - north america (eia)
3431,6.395,cis (ei)
5913,0.0,ecuador
496,,albania
9356,0.0,indonesia
1683,,austria
910,,antarctica
17711,15.453,slovenia
15020,,opec (eia)
4034,,central and south america (shift)
17740,,solomon islands
13819,,non-oecd (eia)
10451,0.0,kuwait
15127,,opec (shift)
15040,,opec (eia)
20141,209.758,ussr
3120,,brunei
8929,0.0,hungary
20410,0.0,united arab emirates
9578,,iraq
10602,0.0,latvia
9136,0.0,iceland
9667,,ireland
17265,,sao tome and principe
1758,0.0,austria
19938,,tuvalu
17597,0.0,singapore
1231,345.188,asia
19198,,tanzania
17034,,saint kitts and nevis
3745,303.853,canada
1153,,asia
1352,274.657,asia pacific (ei)
16346,,poland
14186,,north america (shift)
7247,,france
3099,,brunei
17,,asean (ember)
19475,,tonga
2047,,bangladesh
16579,,puerto rico
13419,,new zealand
8309,,guam
9546,,iraq
7512,,gabon
18574,,suriname
5057,0.0,cyprus
14835,,oecd - asia and oceania (eia)
7006,,european union (eia)
17098,,saint lucia
18911,,syria
10916,,lithuania
10676,,lebanon
20176,,ussr
16597,,puerto rico
19701,,tunisia
5705,,eu28 (shift)
14146,,north america (ember)
16826,,romania
8819,0.0,hong kong
8708,400.493,high-income countries
2655,,bolivia
6807,,europe (shift)
14784,,oecd (shift)
14243,,north america (shift)
9067,,ieo oecd - europe (eia)
4218,,chile
10481,,kuwait
11444,,malaysia
8077,0.0,greece
21309,0.0,vietnam
19358,0.0,thailand
3460,316.208,cis (ei)
5386,,democratic republic of congo
1019,,argentina
11877,0.0,mexico
14771,,oecd (shift)
6876,,europe (shift)
15904,,paraguay
3938,,central african republic
13784,870.301,non-oecd (ei)
12673,,mozambique
19449,,tonga
8707,292.985,high-income countries
8682,,high-income countries
15073,,opec (shift)
9020,,ieo - africa (eia)
12536,,morocco
13256,,new caledonia
3707,,canada
12556,,morocco
16605,,puerto rico
4143,,chad
16537,0.0,portugal
5378,,democratic republic of congo
716,,american samoa
2710,,bosnia and herzegovina
18659,,sweden
7707,,germany
597,,algeria
13876,,non-opec (ei)
9627,0.0,iraq
7087,,falkland islands
5741,,eu28 (shift)
9061,,ieo - middle east (eia)
12310,,middle east (shift)
