Unnamed__0,release_year
0,1996
1,1996
2,1996
3,1996
4,1996
5,1996
6,1996
7,1996
8,1996
9,1996
10,1996
11,1996
12,1996
13,1996
14,1996
15,1996
16,1996
17,1996
18,1996
19,1996
20,1996
21,1996
22,1996
23,1996
24,1996
25,1996
26,1996
27,1996
28,1996
29,1996
30,1996
31,1996
32,1996
33,1996
34,1996
35,1996
36,1996
37,1996
38,1996
39,1996
40,1996
41,1996
42,1996
43,1996
44,1996
45,1996
46,1996
47,1996
48,1996
49,1997
50,1997
51,1997
52,1997
53,1997
54,1997
55,1997
56,1997
57,1997
58,1997
59,1997
60,1997
61,1997
62,1997
63,1997
64,1997
65,1997
66,1997
67,1997
68,1997
69,1997
70,1997
71,1997
72,1997
73,1997
74,1997
75,1997
76,1997
77,1997
78,1997
79,1997
80,1997
81,1997
82,1997
83,1997
84,1997
85,1997
86,1997
87,1997
88,1997
89,1997
90,1997
91,1998
92,1998
93,1998
94,1998
95,1998
96,1998
97,1998
98,1998
99,1998
100,1998
101,1998
102,1998
103,1998
104,1998
105,1998
106,1998
107,1998
108,1998
109,1998
110,1998
111,1998
112,1998
113,1998
114,1998
115,1998
116,1998
117,1998
118,1998
119,1998
120,1998
121,1998
122,1998
123,1998
124,1998
125,1998
126,1998
127,1998
128,1998
129,1998
130,1998
131,1998
132,1998
133,1998
134,1998
135,1998
136,1998
137,1998
138,1998
139,1998
140,1998
141,1998
142,1998
143,1999
144,1999
145,1999
146,1999
147,1999
148,1999
149,1999
150,1999
151,1999
152,1999
153,1999
154,1999
155,1999
156,1999
157,1999
158,1999
159,1999
160,1999
161,1999
162,1999
163,1999
164,1999
165,1999
166,1999
167,1999
168,1999
169,1999
170,1999
171,1999
172,1999
173,1999
174,1999
175,1999
176,1999
177,1999
178,1999
179,1999
180,1999
181,1999
182,1999
183,1999
184,1999
185,1999
186,1999
187,1999
188,1999
189,1999
190,1999
191,1999
192,1999
193,1999
194,1999
195,1999
196,1999
197,1999
198,1999
199,1999
200,1999
201,1999
202,1999
203,1999
204,1999
205,1999
206,2000
207,2000
208,2000
209,2000
210,2000
211,2000
212,2000
213,2000
214,2000
215,2000
216,2000
217,2000
218,2000
219,2000
220,2000
221,2000
222,2000
223,2000
224,2000
225,2000
226,2000
227,2000
228,2000
229,2000
230,2000
231,2000
232,2000
233,2000
